player,player_season_group,market_value_eur,age,season_start_year,matches_played,minutes_played,minutes_per_match,average_rating,pass_accuracy_percent,long_ball_accuracy_percent,cross_accuracy_percent,goal_contributions_per90,shot_accuracy,goals_per_shot,goals_per90,assists_per90,total_shots_per90,shots_on_target_per90,big_chances_missed_per90,key_passes_per90,big_chances_created_per90,successful_dribbles_per90,accurate_passes_per90,accurate_long_balls_per90,accurate_crosses_per90,clearances_per90,yellow_cards_per90,red_cards_per90,errors_leading_to_goal_per90,dribbled_past_per90,tackles_per90,interceptions_per90,blocked_shots_per90,aerial_duels_won_per90,nationality,position,league,competition_category
Alex Iwobi,Alex Iwobi__17/18,10000000,21,2017,26,1843,70.88461538461539,7.1,86.6,59.6,15.0,0.3906673901247965,0.5111111111111111,0.06666666666666667,0.14650027129679868,0.24416711882799783,2.1975040694519805,1.12316874660879,0.09766684753119913,1.8556701030927836,0.29300054259359737,1.7580032555615843,48.100922409115576,1.3673358654367878,0.14650027129679868,0.048833423765599564,0.048833423765599564,0.0,0.0,0.6348345089527944,0.9278350515463918,0.34183396635919694,0.5371676614215952,0.14650027129679868,NGR,Midfielder,Premier League,Domestic leagues
Alex Iwobi,Alex Iwobi__16/17,10000000,20,2016,26,1462,56.23076923076923,6.96,87.6,57.6,22.2,0.3693570451436389,0.28205128205128205,0.07692307692307693,0.18467852257181944,0.18467852257181944,2.4008207934336525,0.6771545827633378,0.12311901504787962,1.6621067031463748,0.12311901504787962,1.7236662106703147,48.32421340629275,1.1696306429548564,0.24623803009575923,0.06155950752393981,0.06155950752393981,0.0,0.0,0.6771545827633378,1.1696306429548564,0.49247606019151846,1.0465116279069768,0.24623803009575923,NGR,Midfielder,Premier League,Domestic leagues
Alex Iwobi,Alex Iwobi__15/16,1000000,19,2015,13,632,48.61538461538461,7.0,85.6,50.0,,0.569620253164557,0.4666666666666667,0.13333333333333333,0.2848101265822785,0.2848101265822785,2.1360759493670884,0.9968354430379747,0.0,1.7088607594936709,0.4272151898734177,2.278481012658228,44.857594936708864,0.8544303797468354,0.0,0.0,0.0,0.0,0.0,0.4272151898734177,1.139240506329114,0.4272151898734177,0.2848101265822785,0.14240506329113925,NGR,Midfielder,Premier League,Domestic leagues
Alex Iwobi,Alex Iwobi__18/19,25000000,22,2018,11,556,50.54545454545455,7.01,81.2,78.6,26.7,0.6474820143884892,0.38461538461538464,0.15384615384615385,0.3237410071942446,0.3237410071942446,2.1043165467625897,0.8093525179856115,0.0,2.7517985611510793,0.6474820143884892,2.9136690647482015,38.36330935251799,1.7805755395683454,0.6474820143884892,0.3237410071942446,0.0,0.0,0.0,0.9712230215827338,1.2949640287769784,0.1618705035971223,0.3237410071942446,0.1618705035971223,NGR,Midfielder,UEFA Europa League,International competitions
Alex Iwobi,Alex Iwobi__17/18,10000000,21,2017,6,334,55.666666666666664,6.95,87.3,62.5,,0.2694610778443114,0.125,0.0,0.0,0.2694610778443114,2.155688622754491,0.2694610778443114,0.2694610778443114,2.964071856287425,0.2694610778443114,4.580838323353293,59.01197604790419,1.347305389221557,0.0,0.2694610778443114,0.0,0.0,0.0,1.0778443113772456,0.8083832335329342,0.2694610778443114,0.8083832335329342,0.2694610778443114,NGR,Midfielder,UEFA Europa League,International competitions
Alex Iwobi,Alex Iwobi__16/17,10000000,20,2016,7,411,58.714285714285715,6.57,86.7,81.8,,0.21897810218978103,0.5,0.16666666666666666,0.21897810218978103,0.0,1.313868613138686,0.656934306569343,0.0,0.21897810218978103,0.0,0.656934306569343,42.91970802919708,1.9708029197080292,0.0,0.0,0.0,0.0,0.0,0.8759124087591241,1.313868613138686,0.43795620437956206,0.43795620437956206,,NGR,Midfielder,UEFA Champions League,International competitions
Alex Iwobi,Alex Iwobi__15/16,1000000,19,2015,2,77,38.5,6.8,79.4,,,0.0,0.0,0.0,0.0,0.0,2.3376623376623376,0.0,0.0,2.3376623376623376,0.0,1.1688311688311688,31.558441558441558,0.0,,0.0,0.0,0.0,0.0,1.1688311688311688,0.0,2.3376623376623376,1.1688311688311688,,NGR,Midfielder,UEFA Champions League,International competitions
Antoine Semenyo,Antoine Semenyo__24/25,28000000,24,2024,37,3209,86.72972972972973,7.19,78.2,36.4,13.6,0.44873792458709877,0.328,0.088,0.30850732315363044,0.14023060143346838,3.5057650358367094,1.1498909317544406,0.33655344344032406,1.290121533187909,0.30850732315363044,1.9351822997818635,21.875973823621067,0.5609224057338735,0.22436896229354938,0.16827672172016203,0.2524150825802431,0.0,0.028046120286693673,0.7572452477407292,1.5425366157681522,0.30850732315363044,1.2340292926145218,1.8790900592084763,GHA,Midfielder,Premier League,Domestic leagues
Antoine Semenyo,Antoine Semenyo__23/24,10000000,23,2023,33,2119,64.21212121212122,6.89,74.3,45.5,17.8,0.4247286455875413,0.44285714285714284,0.11428571428571428,0.33978291647003306,0.08494572911750826,2.973100519112789,1.316658801321378,0.21236432279377065,1.2317130722038698,0.25483718735252475,2.1236432279377064,18.5181689476168,0.6370929683813119,0.33978291647003306,0.08494572911750826,0.25483718735252475,0.0,0.0,0.7645115620575743,1.019348749410099,0.25483718735252475,0.8494572911750826,2.208588957055215,GHA,Midfielder,Premier League,Domestic leagues
Antoine Semenyo,Antoine Semenyo__22/23,9000000,22,2022,11,283,25.727272727272727,6.6,67.9,33.3,,0.31802120141342755,0.3333333333333333,0.3333333333333333,0.31802120141342755,0.0,0.9540636042402827,0.31802120141342755,0.0,0.6360424028268551,0.0,0.9540636042402827,12.084805653710248,0.31802120141342755,0.0,0.0,0.0,0.0,0.0,1.5901060070671378,0.31802120141342755,0.6360424028268551,0.31802120141342755,2.862190812720848,GHA,Midfielder,Premier League,Domestic leagues
